Company;ETA;;;;;;;;;;;
;;;;;;;;;;;;
Count of Filename;Column Labels;;;;;;;;;;;
Row Labels;08/01/2021;11/01/2021;12/01/2021;13/01/2021;15/01/2021;18/01/2021;19/01/2021;20/01/2021;21/01/2021;22/01/2021;25/01/2021;Grand Total
ADM047;1;1;1;1;1;1;1;1;1;1;1;11
CPT089;1;1;1;1;1;1;1;1;1;1;1;11
CPT090;1;1;1;1;1;1;1;1;1;1;1;11
CPT094;;;;;;;1;;;;;1
CPT153;;;;;;;1;;;;;1
CPT157;;;;;;;1;;;;;1
CPT171;1;1;1;1;1;1;2;1;1;1;1;12
CPT172;1;1;1;1;1;1;1;1;1;1;1;11
CPT234;;;;;;;1;;;;;1
CPT235;;;;;;;1;;;;;1
CPT369;1;1;1;1;1;1;2;1;1;1;1;12
CPT374;;;;;;;1;;;;;1
CPT375;;;1;1;1;1;1;;;;;5
CPT376;;;1;1;1;1;1;;;;;5
CPTFLX;3;3;3;3;3;3;3;3;3;3;3;33
DOC001;6;6;6;6;6;6;6;6;6;6;6;66
FCT005;1;1;1;1;1;1;1;1;1;1;1;11
FCT011;1;1;1;1;1;1;1;1;1;1;1;11
FCT045;1;1;1;1;1;1;1;1;1;1;1;11
FCT057;1;1;1;1;1;1;1;1;1;1;1;11
FCT058;1;1;1;1;1;1;1;1;1;1;1;11
FCT213;1;1;1;1;1;1;1;1;1;1;1;11
FLRATE;;;;;;1;1;1;1;1;1;6
FLX013;3;3;3;3;3;3;3;3;3;3;3;33
FLX018;12;12;12;12;12;12;12;12;12;12;12;132
FLX031;1;1;1;1;1;1;1;1;1;1;1;11
FLX034;1;1;1;1;2;1;1;1;1;1;1;12
FLX130;1;1;1;1;1;1;1;1;1;1;1;11
IMP061;1;1;1;1;1;1;1;1;1;1;1;11
MOD444;1;1;1;1;1;1;1;1;1;1;1;11
Grand Total;41;41;43;43;44;44;52;42;42;42;42;476
